ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 00:00, 00:15,0.401,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 00:15, 00:30,0.398,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 00:30, 00:45,0.391,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 00:45, 01:00,0.402,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 01:00, 01:15,0.39,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 01:15, 01:30,0.371,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 01:30, 01:45,0.384,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 01:45, 02:00,0.394,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 02:00, 02:15,0.562,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 02:15, 02:30,0.564,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 02:30, 02:45,0.572,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 02:45, 03:00,0.433,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 03:00, 03:15,0.325,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 03:15, 03:30,0.308,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 03:30, 03:45,0.337,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 03:45, 04:00,0.331,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 04:00, 04:15,0.308,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 04:15, 04:30,0.32,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 04:30, 04:45,0.341,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 04:45, 05:00,0.397,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 05:00, 05:15,0.396,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 05:15, 05:30,0.401,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 05:30, 05:45,0.432,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 05:45, 06:00,0.325,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 06:00, 06:15,0.346,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 06:15, 06:30,0.736,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 06:30, 06:45,1.052,A,Consumption
'10443720001617272,12/29/2025,12/30/2025 07:41:08, 06:45, 07:00,0.778,A,Consumption
