ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,10/01/2025,10/02/2025 06:21:01,00:00,00:15,0.858,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,00:15,00:30,0.856,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,00:30,00:45,0.829,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,00:45,01:00,0.856,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,01:00,01:15,0.848,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,01:15,01:30,0.768,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,01:30,01:45,0.604,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,01:45,02:00,0.754,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,02:00,02:15,0.842,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,02:15,02:30,0.829,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,02:30,02:45,0.696,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,02:45,03:00,0.611,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,03:00,03:15,0.833,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,03:15,03:30,0.856,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,03:30,03:45,0.538,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,03:45,04:00,0.865,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,04:00,04:15,0.769,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,04:15,04:30,0.515,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,04:30,04:45,0.852,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,04:45,05:00,0.450,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,05:00,05:15,0.822,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,05:15,05:30,0.737,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,05:30,05:45,0.940,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,05:45,06:00,1.144,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,06:00,06:15,0.557,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,06:15,06:30,0.844,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,06:30,06:45,0.464,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,06:45,07:00,0.486,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,07:00,07:15,0.445,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,07:15,07:30,0.568,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,07:30,07:45,0.672,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,07:45,08:00,0.418,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,08:00,08:15,0.438,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,08:15,08:30,0.526,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,08:30,08:45,0.886,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,08:45,09:00,0.428,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,09:00,09:15,0.424,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,09:15,09:30,0.448,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,09:30,09:45,0.440,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,09:45,10:00,0.552,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,10:00,10:15,0.919,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,10:15,10:30,0.942,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,10:30,10:45,0.918,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,10:45,11:00,0.905,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,11:00,11:15,0.936,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,11:15,11:30,0.913,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,11:30,11:45,0.919,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,11:45,12:00,0.941,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,12:00,12:15,0.936,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,12:15,12:30,0.917,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,12:30,12:45,0.901,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,12:45,13:00,0.913,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,13:00,13:15,0.912,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,13:15,13:30,0.898,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,13:30,13:45,0.896,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,13:45,14:00,0.916,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,14:00,14:15,0.911,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,14:15,14:30,0.895,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,14:30,14:45,0.554,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,14:45,15:00,0.708,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,15:00,15:15,1.789,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,15:15,15:30,1.744,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,15:30,15:45,1.068,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,15:45,16:00,1.261,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,16:00,16:15,1.298,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,16:15,16:30,1.285,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,16:30,16:45,1.242,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,16:45,17:00,1.205,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,17:00,17:15,1.220,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,17:15,17:30,1.249,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,17:30,17:45,1.228,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,17:45,18:00,1.272,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,18:00,18:15,0.545,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,18:15,18:30,0.913,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,18:30,18:45,0.958,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,18:45,19:00,1.051,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,19:00,19:15,0.924,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,19:15,19:30,0.578,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,19:30,19:45,1.184,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,19:45,20:00,1.014,A,Consumption
'10443720001617272,10/01/2025,10/02/2025 06:21:01,20:00,20:15,0.731,A,Consumption
