ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
'10443720001617272,01/01/2025,01/02/2025 06:30:44,00:00,00:15,0.659,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,00:15,00:30,0.738,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,00:30,00:45,0.553,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,00:45,01:00,0.535,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,01:00,01:15,0.532,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,01:15,01:30,0.707,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,01:30,01:45,0.612,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,01:45,02:00,0.538,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,02:00,02:15,0.452,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,02:15,02:30,0.598,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,02:30,02:45,0.499,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,02:45,03:00,0.580,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,03:00,03:15,0.496,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,03:15,03:30,0.526,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,03:30,03:45,0.541,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,03:45,04:00,0.607,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,04:00,04:15,0.569,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,04:15,04:30,0.538,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,04:30,04:45,0.535,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,04:45,05:00,0.610,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,05:00,05:15,0.450,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,05:15,05:30,0.601,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,05:30,05:45,0.474,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,05:45,06:00,0.976,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,06:00,06:15,1.039,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,06:15,06:30,0.985,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,06:30,06:45,1.007,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,06:45,07:00,0.988,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,07:00,07:15,1.081,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,07:15,07:30,0.923,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,07:30,07:45,1.507,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,07:45,08:00,1.508,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,08:00,08:15,1.481,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,08:15,08:30,1.482,A,Consumption
'10443720001617272,01/01/2025,01/02/2025 06:30:44,08:30,08:45,1.432,A,Consumption
